timestamp,client_MB,elasticsearch_MB
1761086448.3450692,326.10546875,945.12890625
1761086448.8498065,326.48046875,958.62890625
1761086449.363078,326.73046875,963.50390625
1761086449.8704915,326.85546875,967.37890625
1761086450.379831,327.23046875,964.00390625
1761086450.880454,327.35546875,965.62890625
1761086451.3864565,327.35546875,966.37890625
1761086451.894022,327.35546875,967.12890625
1761086452.3943129,327.48046875,961.75390625
